zip_code,distance,city,state
21716,9.728,"Brunswick","MD"
21717,9.609,"Buckeystown","MD"
21758,8.193,"Knoxville","MD"
21755,5.554,"Jefferson","MD"
21715,7.626,"Brownsville","MD"
21718,5.489,"Burkittsville","MD"
21714,2.98,"Braddock Heights","MD"
21701,7.079,"Frederick","MD"
21702,7.079,"Frederick","MD"
21703,7.079,"Frederick","MD"
21704,7.079,"Frederick","MD"
21705,7.079,"Frederick","MD"
21709,7.079,"Frederick","MD"
21779,5.906,"Rohrersville","MD"
21769,0.005,"Middletown","MD"
21756,8.46,"Keedysville","MD"
21713,7.18,"Boonsboro","MD"
21773,4.279,"Myersville","MD"
